year,scale,scale_col,n,mean,sd,p10,p25,p50,p75,p90,cutoff_pct,cutoff_value
9,RBDSQ-13 total,RBDSQ_13item,156,5.808,3.398,1.0,3.0,6.0,8.0,11.0,75th,8.0
9,SCOPA-AUT total,SCAU_TOTAL,132,14.973,7.235,7.0,10.0,15.0,18.0,23.9,75th,18.0
9,MoCA total,MCATOT,142,26.623,3.575,21.55,25.0,28.0,29.0,30.0,25th,25.0
10,MDS-UPDRS Part II,NP2PTOT,153,13.054,7.113,5.0,7.0,12.5,17.0,22.0,75th,17.0
10,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,103,37.058,13.884,21.0,26.5,36.0,46.0,54.8,75th,46.0
10,PIGD/TD ratio (winsorized),pigd_td_ratio,162,0.712,1.055,0.0,0.0,0.37,0.73,2.2,75th,0.73
10,RBDSQ-13 total,RBDSQ_13item,139,5.129,3.42,1.0,2.0,4.0,8.0,10.0,75th,8.0
10,SCOPA-AUT total,SCAU_TOTAL,111,14.468,7.362,5.0,9.5,13.0,19.5,24.0,75th,19.5
10,MoCA total,MCATOT,120,26.921,3.096,23.0,26.0,28.0,29.0,30.0,25th,26.0
11,MDS-UPDRS Part II,NP2PTOT,169,13.081,7.136,5.0,8.0,12.67,17.5,21.6,75th,17.5
11,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,108,39.213,16.658,19.7,27.0,39.0,50.25,60.3,75th,50.25
11,PIGD/TD ratio (winsorized),pigd_td_ratio,184,0.681,1.043,0.0,0.0,0.37,0.73,1.54,75th,0.73
11,RBDSQ-13 total,RBDSQ_13item,161,5.217,3.442,1.0,2.0,4.0,8.0,10.0,75th,8.0
11,SCOPA-AUT total,SCAU_TOTAL,127,14.043,6.693,6.3,9.5,13.0,17.0,23.4,75th,17.0
11,MoCA total,MCATOT,144,26.899,3.379,23.0,25.0,28.0,29.0,30.0,25th,25.0
12,MDS-UPDRS Part II,NP2PTOT,172,13.931,7.768,5.0,9.0,13.0,18.0,24.0,75th,18.0
12,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,97,43.01,16.659,23.6,28.0,44.0,54.0,66.0,75th,54.0
12,PIGD/TD ratio (winsorized),pigd_td_ratio,188,0.695,1.064,0.0,0.0,0.37,0.73,2.2,75th,0.73
12,RBDSQ-13 total,RBDSQ_13item,147,5.616,3.4,1.0,3.0,5.0,9.0,10.4,75th,9.0
12,SCOPA-AUT total,SCAU_TOTAL,120,15.208,6.936,7.0,10.0,15.0,19.0,24.0,75th,19.0
12,MoCA total,MCATOT,135,26.737,3.374,23.0,25.0,28.0,29.0,30.0,25th,25.0
13,MDS-UPDRS Part II,NP2PTOT,161,14.987,7.837,5.0,9.0,14.0,21.0,25.0,75th,21.0
13,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,55,42.609,17.094,24.4,29.0,42.0,54.0,63.0,75th,54.0
13,PIGD/TD ratio (winsorized),pigd_td_ratio,179,0.677,1.054,0.0,0.0,0.37,0.73,2.2,75th,0.73
13,RBDSQ-13 total,RBDSQ_13item,139,5.968,3.565,1.0,3.0,5.0,9.0,11.0,75th,9.0
13,SCOPA-AUT total,SCAU_TOTAL,108,16.523,7.526,7.7,10.0,16.5,21.0,26.0,75th,21.0
13,MoCA total,MCATOT,127,26.661,3.801,23.0,25.25,28.0,29.5,30.0,25th,25.25
14,MDS-UPDRS Part II,NP2PTOT,131,15.74,8.727,5.67,9.0,15.0,21.0,27.5,75th,21.0
14,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,31,44.823,14.215,30.0,34.0,44.0,53.5,66.0,75th,53.5
14,PIGD/TD ratio (winsorized),pigd_td_ratio,155,0.608,0.933,0.0,0.0,0.37,0.73,1.47,75th,0.73
14,RBDSQ-13 total,RBDSQ_13item,113,6.071,3.393,2.0,3.0,6.0,9.0,11.0,75th,9.0
14,SCOPA-AUT total,SCAU_TOTAL,87,16.575,7.903,9.0,11.0,15.0,21.0,27.0,75th,21.0
14,MoCA total,MCATOT,102,26.48,3.646,22.0,24.62,27.5,29.0,30.0,25th,24.62
15,MDS-UPDRS Part II,NP2PTOT,75,17.744,9.567,6.0,11.0,18.0,23.5,27.6,75th,23.5
15,MDS-UPDRS Part III (off),NP3TOT_OFF_UNTREATED,10,33.8,12.156,19.8,30.0,31.5,32.75,54.4,75th,32.75
15,PIGD/TD ratio (winsorized),pigd_td_ratio,88,0.569,0.852,0.0,0.0,0.31,0.65,1.47,75th,0.65
15,RBDSQ-13 total,RBDSQ_13item,54,5.759,3.57,1.0,2.25,6.0,9.0,10.0,75th,9.0
15,SCOPA-AUT total,SCAU_TOTAL,38,17.855,8.066,9.7,12.0,18.0,24.0,26.9,75th,24.0
15,MoCA total,MCATOT,51,26.196,3.685,22.0,24.0,28.0,29.0,30.0,25th,24.0
